id,year,subdomain,value
1,2017,1.1 Strategic vision,10.23466981
1,2018,1.1 Strategic vision,10.23466981
1,2019,1.1 Strategic vision,45.02240566
1,2020,1.1 Strategic vision,45.02240566
1,2021,1.1 Strategic vision,55.56721698
1,2022,1.1 Strategic vision,55.56721698
2,2017,1.1 Strategic vision,0
2,2018,1.1 Strategic vision,0
2,2019,1.1 Strategic vision,0
2,2020,1.1 Strategic vision,0
2,2021,1.1 Strategic vision,10.23466981
2,2022,1.1 Strategic vision,20.77948113
3,2017,1.1 Strategic vision,65.50707547
3,2018,1.1 Strategic vision,65.50707547
3,2019,1.1 Strategic vision,65.50707547
3,2020,1.1 Strategic vision,65.50707547
3,2021,1.1 Strategic vision,65.50707547
3,2022,1.1 Strategic vision,65.50707547
4,2017,1.1 Strategic vision,82.9009434
4,2018,1.1 Strategic vision,82.9009434
4,2019,1.1 Strategic vision,89.76533019
4,2020,1.1 Strategic vision,100
4,2021,1.1 Strategic vision,100
4,2022,1.1 Strategic vision,100
5,2017,1.1 Strategic vision,0
5,2018,1.1 Strategic vision,0
5,2019,1.1 Strategic vision,10.23466981
5,2020,1.1 Strategic vision,10.23466981
5,2021,1.1 Strategic vision,10.23466981
5,2022,1.1 Strategic vision,10.23466981
6,2017,1.1 Strategic vision,68.98584906
6,2018,1.1 Strategic vision,68.98584906
6,2019,1.1 Strategic vision,68.98584906
6,2020,1.1 Strategic vision,68.98584906
6,2021,1.1 Strategic vision,68.98584906
6,2022,1.1 Strategic vision,68.98584906
7,2017,1.1 Strategic vision,0
7,2018,1.1 Strategic vision,0
7,2019,1.1 Strategic vision,0
7,2020,1.1 Strategic vision,0
7,2021,1.1 Strategic vision,0
7,2022,1.1 Strategic vision,10.23466981
8,2017,1.1 Strategic vision,10.23466981
8,2018,1.1 Strategic vision,0
8,2019,1.1 Strategic vision,89.76533019
8,2020,1.1 Strategic vision,89.76533019
8,2021,1.1 Strategic vision,89.76533019
8,2022,1.1 Strategic vision,89.76533019
9,2017,1.1 Strategic vision,0
9,2018,1.1 Strategic vision,0
9,2019,1.1 Strategic vision,0
9,2020,1.1 Strategic vision,0
9,2021,1.1 Strategic vision,51.88679245
9,2022,1.1 Strategic vision,62.12146226
10,2017,1.1 Strategic vision,31.01415094
10,2018,1.1 Strategic vision,20.77948113
10,2019,1.1 Strategic vision,89.76533019
10,2020,1.1 Strategic vision,89.76533019
10,2021,1.1 Strategic vision,79.22051887
10,2022,1.1 Strategic vision,100
11,2017,1.1 Strategic vision,100
11,2018,1.1 Strategic vision,100
11,2019,1.1 Strategic vision,100
11,2020,1.1 Strategic vision,100
11,2021,1.1 Strategic vision,100
11,2022,1.1 Strategic vision,100
12,2017,1.1 Strategic vision,72.37146226
12,2018,1.1 Strategic vision,72.37146226
12,2019,1.1 Strategic vision,72.37146226
12,2020,1.1 Strategic vision,72.37146226
12,2021,1.1 Strategic vision,72.37146226
12,2022,1.1 Strategic vision,72.37146226
13,2017,1.1 Strategic vision,100
13,2018,1.1 Strategic vision,100
13,2019,1.1 Strategic vision,89.76533019
13,2020,1.1 Strategic vision,89.76533019
13,2021,1.1 Strategic vision,100
13,2022,1.1 Strategic vision,89.76533019
14,2017,1.1 Strategic vision,45.02240566
14,2018,1.1 Strategic vision,34.78773585
14,2019,1.1 Strategic vision,45.02240566
14,2020,1.1 Strategic vision,45.02240566
14,2021,1.1 Strategic vision,45.02240566
14,2022,1.1 Strategic vision,65.80188679
15,2017,1.1 Strategic vision,72.66627358
15,2018,1.1 Strategic vision,72.66627358
15,2019,1.1 Strategic vision,72.66627358
15,2020,1.1 Strategic vision,72.66627358
15,2021,1.1 Strategic vision,72.66627358
15,2022,1.1 Strategic vision,72.66627358
16,2017,1.1 Strategic vision,0
16,2018,1.1 Strategic vision,89.76533019
16,2019,1.1 Strategic vision,89.76533019
16,2020,1.1 Strategic vision,89.76533019
16,2021,1.1 Strategic vision,89.76533019
16,2022,1.1 Strategic vision,89.76533019
17,2017,1.1 Strategic vision,20.77948113
17,2018,1.1 Strategic vision,0
17,2019,1.1 Strategic vision,89.76533019
