id,year,domain,value
1,2017,1 Policy design,18.12370161
1,2018,1 Policy design,18.12370161
1,2019,1 Policy design,61.23040604
1,2020,1 Policy design,59.10418634
1,2021,1 Policy design,61.97544854
1,2022,1 Policy design,61.97544854
2,2017,1 Policy design,2.447277306
2,2018,1 Policy design,2.447277306
2,2019,1 Policy design,2.447277306
2,2020,1 Policy design,2.447277306
2,2021,1 Policy design,3.109537299
2,2022,1 Policy design,5.867485049
3,2017,1 Policy design,84.51998741
3,2018,1 Policy design,84.51998741
3,2019,1 Policy design,84.51998741
3,2020,1 Policy design,84.51998741
3,2021,1 Policy design,84.51998741
3,2022,1 Policy design,84.51998741
4,2017,1 Policy design,82.42681775
4,2018,1 Policy design,89.21938936
4,2019,1 Policy design,91.05162103
4,2020,1 Policy design,93.7834435
4,2021,1 Policy design,93.7834435
4,2022,1 Policy design,93.7834435
5,2017,1 Policy design,4.516839786
5,2018,1 Policy design,9.126534466
5,2019,1 Policy design,11.91501416
5,2020,1 Policy design,11.91501416
5,2021,1 Policy design,11.74504249
5,2022,1 Policy design,11.85835694
6,2017,1 Policy design,50.90336796
6,2018,1 Policy design,57.1120554
6,2019,1 Policy design,52.97293044
6,2020,1 Policy design,59.76550205
6,2021,1 Policy design,59.76550205
6,2022,1 Policy design,59.76550205
7,2017,1 Policy design,2.447277306
7,2018,1 Policy design,2.447277306
7,2019,1 Policy design,2.447277306
7,2020,1 Policy design,2.447277306
7,2021,1 Policy design,0.321057602
7,2022,1 Policy design,7.135347812
8,2017,1 Policy design,5.065785332
8,2018,1 Policy design,2.333962858
8,2019,1 Policy design,84.26691848
8,2020,1 Policy design,91.00283286
8,2021,1 Policy design,82.66792572
8,2022,1 Policy design,82.66792572
9,2017,1 Policy design,0.15108593
9,2018,1 Policy design,0.15108593
9,2019,1 Policy design,0.15108593
9,2020,1 Policy design,0.15108593
9,2021,1 Policy design,60.25495751
9,2022,1 Policy design,69.83600881
10,2017,1 Policy design,27.43153919
10,2018,1 Policy design,24.96411709
10,2019,1 Policy design,93.07239534
10,2020,1 Policy design,84.21026125
10,2021,1 Policy design,73.11740636
10,2022,1 Policy design,84.7592068
11,2017,1 Policy design,93.15077117
11,2018,1 Policy design,99.88668555
11,2019,1 Policy design,99.88668555
11,2020,1 Policy design,99.94334278
11,2021,1 Policy design,99.94334278
11,2022,1 Policy design,100
12,2017,1 Policy design,80.50708215
12,2018,1 Policy design,82.57664463
12,2019,1 Policy design,82.46333019
12,2020,1 Policy design,80.39376771
12,2021,1 Policy design,70.0459553
12,2022,1 Policy design,70.10261253
13,2017,1 Policy design,74.82373308
13,2018,1 Policy design,83.62920995
13,2019,1 Policy design,76.23103557
13,2020,1 Policy design,82.96694995
13,2021,1 Policy design,85.81208687
13,2022,1 Policy design,72.67579477
14,2017,1 Policy design,67.34151715
14,2018,1 Policy design,64.60969468
14,2019,1 Policy design,67.34151715
14,2020,1 Policy design,67.34151715
14,2021,1 Policy design,65.27195467
14,2022,1 Policy design,87.48819641
15,2017,1 Policy design,79.75952156
15,2018,1 Policy design,86.49543595
15,2019,1 Policy design,86.49543595
15,2020,1 Policy design,88.56499843
15,2021,1 Policy design,73.55083412
15,2022,1 Policy design,80.2867485
16,2017,1 Policy design,8.599307523
16,2018,1 Policy design,87.61913755
16,2019,1 Policy design,80.82656594
16,2020,1 Policy design,80.93988039
16,2021,1 Policy design,79.28423041
16,2022,1 Policy design,79.22757318
17,2017,1 Policy design,22.89455461
17,2018,1 Policy design,11.13943972
17,2019,1 Policy design,73.38243626
17,2020,1 Policy design,73.43909348
17,2021,1 Policy design,62.28958137
17,2022,1 Policy design,62.28958137
18,2017,1 Policy design,2.277305634
18,2018,1 Policy design,5.009128108
18,2019,1 Policy design,5.065785332
18,2020,1 Policy design,5.065785332
18,2021,1 Policy design,9.732137236
18,2022,1 Policy design,9.732137236
19,2017,1 Policy design,76.58293988
19,2018,1 Policy design,78.65250236
19,2019,1 Policy design,99.88668555
19,2020,1 Policy design,99.94334278
19,2021,1 Policy design,82.25401322
19,2022,1 Policy design,86.8637079
20,2017,1 Policy design,22.78124016
20,2018,1 Policy design,79.72804533
20,2019,1 Policy design,86.35064526
20,2020,1 Policy design,75.25779037
20,2021,1 Policy design,75.25779037
20,2022,1 Policy design,75.25779037
21,2017,1 Policy design,84.3235757
21,2018,1 Policy design,86.39313818
21,2019,1 Policy design,86.39313818
21,2020,1 Policy design,93.12905257
21,2021,1 Policy design,79.96663519
21,2022,1 Policy design,95.86087504
22,2017,1 Policy design,5.065785332
22,2018,1 Policy design,5.065785332
22,2019,1 Policy design,5.065785332
22,2020,1 Policy design,5.065785332
22,2021,1 Policy design,5.065785332
22,2022,1 Policy design,7.993704753
23,2017,1 Policy design,2.447277306
23,2018,1 Policy design,70.49889833
23,2019,1 Policy design,70.49889833
23,2020,1 Policy design,77.84041549
23,2021,1 Policy design,80.65502046
23,2022,1 Policy design,77.89707271
24,2017,1 Policy design,11.91501416
24,2018,1 Policy design,66.82278879
24,2019,1 Policy design,66.82278879
24,2020,1 Policy design,71.43248347
24,2021,1 Policy design,51.53415172
24,2022,1 Policy design,65.22379603
25,2017,1 Policy design,9.18319169
25,2018,1 Policy design,9.18319169
25,2019,1 Policy design,9.18319169
25,2020,1 Policy design,9.18319169
25,2021,1 Policy design,2.447277306
25,2022,1 Policy design,9.845451684
26,2017,1 Policy design,0.207743154
26,2018,1 Policy design,25.09915014
26,2019,1 Policy design,77.9272899
26,2020,1 Policy design,68.18508026
26,2021,1 Policy design,66.80390305
26,2022,1 Policy design,66.80390305
27,2017,1 Policy design,76.70160529
27,2018,1 Policy design,76.70160529
27,2019,1 Policy design,72.03525338
27,2020,1 Policy design,78.77116777
27,2021,1 Policy design,67.95278565
27,2022,1 Policy design,70.60623229
28,2017,1 Policy design,99.94334278
28,2018,1 Policy design,93.26408562
28,2019,1 Policy design,93.20742839
28,2020,1 Policy design,99.94334278
28,2021,1 Policy design,100
28,2022,1 Policy design,100
29,2017,1 Policy design,0.264400378
29,2018,1 Policy design,0.264400378
29,2019,1 Policy design,0.264400378
29,2020,1 Policy design,2.882908404
29,2021,1 Policy design,2.882908404
29,2022,1 Policy design,4.952470884
30,2017,1 Policy design,79.6713881
30,2018,1 Policy design,83.81051306
30,2019,1 Policy design,83.81051306
30,2020,1 Policy design,83.81051306
30,2021,1 Policy design,82.32483475
30,2022,1 Policy design,84.39439723
31,2017,1 Policy design,11.27447277
31,2018,1 Policy design,72.7491344
31,2019,1 Policy design,85.91155178
31,2020,1 Policy design,92.64746616
31,2021,1 Policy design,84.42587347
31,2022,1 Policy design,78.21718602
32,2017,1 Policy design,42.18570979
32,2018,1 Policy design,42.18570979
32,2019,1 Policy design,48.92162417
