id,year,value,WHO_Region
1,2017,44.78,European Region
1,2018,45.84,European Region
1,2019,66.56,European Region
1,2020,61.66,European Region
1,2021,64.15,European Region
1,2022,63.31,European Region
2,2017,6.8,African Region
2,2018,6.8,African Region
2,2019,6.8,African Region
2,2020,6.8,African Region
2,2021,8.78,African Region
2,2022,4.21,African Region
3,2017,72.89,Western Pacific Region
3,2018,71.21,Western Pacific Region
3,2019,72.88,Western Pacific Region
3,2020,73.83,Western Pacific Region
3,2021,72.83,Western Pacific Region
3,2022,72.83,Western Pacific Region
4,2017,67.13,European Region
4,2018,74.01,European Region
4,2019,74.49,European Region
4,2020,77.86,European Region
4,2021,88.15,European Region
4,2022,84.55,European Region
5,2017,5.31,African Region
5,2018,6.36,African Region
5,2019,11.93,African Region
5,2020,9.8,African Region
5,2021,10.91,African Region
5,2022,11.15,African Region
6,2017,51.06,European Region
6,2018,55.13,European Region
6,2019,57.42,European Region
6,2020,56.07,European Region
6,2021,60.43,European Region
6,2022,67.91,European Region
7,2017,6.94,Region of the Americas
7,2018,8.38,Region of the Americas
7,2019,8.32,Region of the Americas
7,2020,8.32,Region of the Americas
7,2021,1.36,Region of the Americas
7,2022,8.02,Region of the Americas
8,2017,8.79,Western Pacific Region
8,2018,12.5,Western Pacific Region
8,2019,46.27,Western Pacific Region
8,2020,44.25,Western Pacific Region
8,2021,51.46,Western Pacific Region
8,2022,51.46,Western Pacific Region
9,2017,4.13,Western Pacific Region
9,2018,4.13,Western Pacific Region
9,2019,4.87,Western Pacific Region
9,2020,4.87,Western Pacific Region
9,2021,27.8,Western Pacific Region
9,2022,37.97,Western Pacific Region
10,2017,25.11,Eastern Mediterranean Region
10,2018,24.24,Eastern Mediterranean Region
10,2019,49.38,Eastern Mediterranean Region
10,2020,49.12,Eastern Mediterranean Region
10,2021,51.99,Eastern Mediterranean Region
10,2022,53.55,Eastern Mediterranean Region
11,2017,59.85,Eastern Mediterranean Region
11,2018,66.64,Eastern Mediterranean Region
11,2019,67.61,Eastern Mediterranean Region
11,2020,70.96,Eastern Mediterranean Region
11,2021,68.87,Eastern Mediterranean Region
11,2022,72.43,Eastern Mediterranean Region
12,2017,57.54,Eastern Mediterranean Region
12,2018,61.29,Eastern Mediterranean Region
12,2019,56.87,Eastern Mediterranean Region
12,2020,60.43,Eastern Mediterranean Region
12,2021,56.44,Eastern Mediterranean Region
12,2022,59.2,Eastern Mediterranean Region
13,2017,50.11,European Region
13,2018,53.18,European Region
13,2019,46.57,European Region
13,2020,51.19,European Region
13,2021,50.07,European Region
13,2022,48.97,European Region
14,2017,32.64,European Region
14,2018,31.13,European Region
14,2019,37.72,European Region
14,2020,35.89,European Region
14,2021,34.41,European Region
14,2022,64.55,European Region
15,2017,46.69,African Region
15,2018,52.09,African Region
15,2019,52.09,African Region
15,2020,56.68,African Region
15,2021,48.98,African Region
15,2022,58.74,African Region
16,2017,15.31,Eastern Mediterranean Region
16,2018,52.21,Eastern Mediterranean Region
16,2019,54.25,Eastern Mediterranean Region
16,2020,52.29,Eastern Mediterranean Region
16,2021,51.38,Eastern Mediterranean Region
16,2022,49.66,Eastern Mediterranean Region
17,2017,39.52,European Region
17,2018,36.46,European Region
17,2019,61.51,European Region
17,2020,64.96,European Region
17,2021,58.15,European Region
17,2022,60.43,European Region
18,2017,15.37,European Region
18,2018,15.65,European Region
18,2019,15.36,European Region
18,2020,17.69,European Region
18,2021,13.15,European Region
18,2022,18.58,European Region
19,2017,43.68,Region of the Americas
19,2018,43.09,Region of the Americas
19,2019,64.39,Region of the Americas
19,2020,56.62,Region of the Americas
19,2021,52.84,Region of the Americas
19,2022,59.66,Region of the Americas
20,2017,15.91,Eastern Mediterranean Region
20,2018,41.09,Eastern Mediterranean Region
20,2019,50.7,Eastern Mediterranean Region
20,2020,53.69,Eastern Mediterranean Region
20,2021,49.07,Eastern Mediterranean Region
20,2022,47.55,Eastern Mediterranean Region
21,2017,75.29,European Region
21,2018,77.03,European Region
21,2019,77.03,European Region
21,2020,73.68,European Region
21,2021,76.26,European Region
21,2022,82.21,European Region
22,2017,10.09,Region of the Americas
22,2018,7.24,Region of the Americas
22,2019,7.24,Region of the Americas
22,2020,6.5,Region of the Americas
22,2021,6.5,Region of the Americas
22,2022,5.76,Region of the Americas
23,2017,10.41,African Region
23,2018,43.02,African Region
23,2019,43.02,African Region
23,2020,43.3,African Region
23,2021,39.62,African Region
23,2022,41.84,African Region
24,2017,24.81,Region of the Americas
24,2018,51.41,Region of the Americas
24,2019,51.04,Region of the Americas
24,2020,56.64,Region of the Americas
24,2021,36.36,Region of the Americas
24,2022,42.53,Region of the Americas
25,2017,3.85,African Region
25,2018,3.85,African Region
25,2019,3.85,African Region
25,2020,3.85,African Region
25,2021,13.34,African Region
25,2022,3.71,African Region
26,2017,16.18,Eastern Mediterranean Region
26,2018,27.86,Eastern Mediterranean Region
26,2019,49.62,Eastern Mediterranean Region
26,2020,48.85,Eastern Mediterranean Region
26,2021,43.63,Eastern Mediterranean Region
26,2022,43.63,Eastern Mediterranean Region
27,2017,37.26,Western Pacific Region
27,2018,37.26,Western Pacific Region
27,2019,45.37,Western Pacific Region
27,2020,38.74,Western Pacific Region
27,2021,46.6,Western Pacific Region
27,2022,47.1,Western Pacific Region
28,2017,76.98,Region of the Americas
28,2018,75.37,Region of the Americas
28,2019,70.02,Region of the Americas
28,2020,74.31,Region of the Americas
28,2021,84.96,Region of the Americas
28,2022,88.76,Region of the Americas
29,2017,13.39,Western Pacific Region
29,2018,13.39,Western Pacific Region
29,2019,14.5,Western Pacific Region
29,2020,14.82,Western Pacific Region
29,2021,13.71,Western Pacific Region
29,2022,8.74,Western Pacific Region
30,2017,63.38,European Region
30,2018,64.78,European Region
30,2019,69.34,European Region
30,2020,71.35,European Region
30,2021,73.42,European Region
30,2022,72.84,European Region
31,2017,10.75,Eastern Mediterranean Region
31,2018,39.16,Eastern Mediterranean Region
31,2019,49.22,Eastern Mediterranean Region
31,2020,51.41,Eastern Mediterranean Region
31,2021,55.32,Eastern Mediterranean Region
31,2022,46.32,Eastern Mediterranean Region
32,2017,44.4,Region of the Americas
32,2018,44.16,Region of the Americas
32,2019,51.77,Region of the Americas
32,2020,55.42,Region of the Americas
32,2021,61.21,Region of the Americas
32,2022,63.18,Region of the Americas
33,2017,3.43,African Region
33,2018,3.8,African Region
33,2019,23.69,African Region
33,2020,35.78,African Region
33,2021,44.02,African Region
33,2022,42.75,African Region
34,2017,2.72,African Region
34,2018,5.56,African Region
34,2019,5.56,African Region
34,2020,5.56,African Region
34,2021,5.56,African Region
34,2022,29.64,African Region
35,2017,24.02,European Region
35,2018,29.41,European Region
35,2019,33.96,European Region
35,2020,36.05,European Region
35,2021,41.76,European Region
35,2022,42.14,European Region
36,2017,31.92,Region of the Americas
36,2018,29.64,Region of the Americas
36,2019,32.88,Region of the Americas
36,2020,56.83,Region of the Americas
36,2021,56.58,Region of the Americas
36,2022,56.64,Region of the Americas
37,2017,17.03,Eastern Mediterranean Region
37,2018,17.03,Eastern Mediterranean Region
37,2019,16.84,Eastern Mediterranean Region
37,2020,18.48,Eastern Mediterranean Region
37,2021,21.76,Eastern Mediterranean Region
37,2022,43.25,Eastern Mediterranean Region
38,2017,10.99,Region of the Americas
38,2018,9.13,Region of the Americas
38,2019,9.13,Region of the Americas
38,2020,9.13,Region of the Americas
38,2021,8.76,Region of the Americas
38,2022,9.13,Region of the Americas
39,2017,29.16,Western Pacific Region
39,2018,29.53,Western Pacific Region
39,2019,34.85,Western Pacific Region
39,2020,25.1,Western Pacific Region
39,2021,26.42,Western Pacific Region
39,2022,43.26,Western Pacific Region
40,2017,46.74,South-East Asia Region
40,2018,47.29,South-East Asia Region
40,2019,54.12,South-East Asia Region
40,2020,71.41,South-East Asia Region
40,2021,73.11,South-East Asia Region
40,2022,76.34,South-East Asia Region
41,2017,11.14,Region of the Americas
41,2018,14.01,Region of the Americas
41,2019,14.01,Region of the Americas
41,2020,18.06,Region of the Americas
41,2021,10.68,Region of the Americas
41,2022,5.94,Region of the Americas
42,2017,25.39,African Region
42,2018,25.39,African Region
