id,year,subdomain,value,WHO_Region
1,2017,1.1 Strategic vision,10.23466981,European Region
1,2018,1.1 Strategic vision,10.23466981,European Region
1,2019,1.1 Strategic vision,45.02240566,European Region
1,2020,1.1 Strategic vision,45.02240566,European Region
1,2021,1.1 Strategic vision,55.56721698,European Region
1,2022,1.1 Strategic vision,55.56721698,European Region
2,2017,1.1 Strategic vision,0,African Region
2,2018,1.1 Strategic vision,0,African Region
2,2019,1.1 Strategic vision,0,African Region
2,2020,1.1 Strategic vision,0,African Region
2,2021,1.1 Strategic vision,10.23466981,African Region
2,2022,1.1 Strategic vision,20.77948113,African Region
3,2017,1.1 Strategic vision,65.50707547,Western Pacific Region
3,2018,1.1 Strategic vision,65.50707547,Western Pacific Region
3,2019,1.1 Strategic vision,65.50707547,Western Pacific Region
3,2020,1.1 Strategic vision,65.50707547,Western Pacific Region
3,2021,1.1 Strategic vision,65.50707547,Western Pacific Region
3,2022,1.1 Strategic vision,65.50707547,Western Pacific Region
4,2017,1.1 Strategic vision,82.9009434,European Region
4,2018,1.1 Strategic vision,82.9009434,European Region
4,2019,1.1 Strategic vision,89.76533019,European Region
4,2020,1.1 Strategic vision,100,European Region
4,2021,1.1 Strategic vision,100,European Region
4,2022,1.1 Strategic vision,100,European Region
5,2017,1.1 Strategic vision,0,African Region
5,2018,1.1 Strategic vision,0,African Region
5,2019,1.1 Strategic vision,10.23466981,African Region
5,2020,1.1 Strategic vision,10.23466981,African Region
5,2021,1.1 Strategic vision,10.23466981,African Region
5,2022,1.1 Strategic vision,10.23466981,African Region
6,2017,1.1 Strategic vision,68.98584906,European Region
6,2018,1.1 Strategic vision,68.98584906,European Region
6,2019,1.1 Strategic vision,68.98584906,European Region
6,2020,1.1 Strategic vision,68.98584906,European Region
6,2021,1.1 Strategic vision,68.98584906,European Region
6,2022,1.1 Strategic vision,68.98584906,European Region
7,2017,1.1 Strategic vision,0,Region of the Americas
7,2018,1.1 Strategic vision,0,Region of the Americas
7,2019,1.1 Strategic vision,0,Region of the Americas
7,2020,1.1 Strategic vision,0,Region of the Americas
7,2021,1.1 Strategic vision,0,Region of the Americas
7,2022,1.1 Strategic vision,10.23466981,Region of the Americas
8,2017,1.1 Strategic vision,10.23466981,Western Pacific Region
8,2018,1.1 Strategic vision,0,Western Pacific Region
8,2019,1.1 Strategic vision,89.76533019,Western Pacific Region
8,2020,1.1 Strategic vision,89.76533019,Western Pacific Region
8,2021,1.1 Strategic vision,89.76533019,Western Pacific Region
8,2022,1.1 Strategic vision,89.76533019,Western Pacific Region
9,2017,1.1 Strategic vision,0,Western Pacific Region
9,2018,1.1 Strategic vision,0,Western Pacific Region
9,2019,1.1 Strategic vision,0,Western Pacific Region
9,2020,1.1 Strategic vision,0,Western Pacific Region
9,2021,1.1 Strategic vision,51.88679245,Western Pacific Region
9,2022,1.1 Strategic vision,62.12146226,Western Pacific Region
10,2017,1.1 Strategic vision,31.01415094,Eastern Mediterranean Region
10,2018,1.1 Strategic vision,20.77948113,Eastern Mediterranean Region
10,2019,1.1 Strategic vision,89.76533019,Eastern Mediterranean Region
10,2020,1.1 Strategic vision,89.76533019,Eastern Mediterranean Region
10,2021,1.1 Strategic vision,79.22051887,Eastern Mediterranean Region
10,2022,1.1 Strategic vision,100,Eastern Mediterranean Region
11,2017,1.1 Strategic vision,100,Eastern Mediterranean Region
11,2018,1.1 Strategic vision,100,Eastern Mediterranean Region
11,2019,1.1 Strategic vision,100,Eastern Mediterranean Region
11,2020,1.1 Strategic vision,100,Eastern Mediterranean Region
11,2021,1.1 Strategic vision,100,Eastern Mediterranean Region
11,2022,1.1 Strategic vision,100,Eastern Mediterranean Region
12,2017,1.1 Strategic vision,72.37146226,Eastern Mediterranean Region
12,2018,1.1 Strategic vision,72.37146226,Eastern Mediterranean Region
12,2019,1.1 Strategic vision,72.37146226,Eastern Mediterranean Region
12,2020,1.1 Strategic vision,72.37146226,Eastern Mediterranean Region
12,2021,1.1 Strategic vision,72.37146226,Eastern Mediterranean Region
12,2022,1.1 Strategic vision,72.37146226,Eastern Mediterranean Region
13,2017,1.1 Strategic vision,100,European Region
13,2018,1.1 Strategic vision,100,European Region
13,2019,1.1 Strategic vision,89.76533019,European Region
13,2020,1.1 Strategic vision,89.76533019,European Region
13,2021,1.1 Strategic vision,100,European Region
13,2022,1.1 Strategic vision,89.76533019,European Region
14,2017,1.1 Strategic vision,45.02240566,European Region
14,2018,1.1 Strategic vision,34.78773585,European Region
14,2019,1.1 Strategic vision,45.02240566,European Region
14,2020,1.1 Strategic vision,45.02240566,European Region
14,2021,1.1 Strategic vision,45.02240566,European Region
14,2022,1.1 Strategic vision,65.80188679,European Region
15,2017,1.1 Strategic vision,72.66627358,African Region
15,2018,1.1 Strategic vision,72.66627358,African Region
15,2019,1.1 Strategic vision,72.66627358,African Region
15,2020,1.1 Strategic vision,72.66627358,African Region
15,2021,1.1 Strategic vision,72.66627358,African Region
15,2022,1.1 Strategic vision,72.66627358,African Region
16,2017,1.1 Strategic vision,0,Eastern Mediterranean Region
16,2018,1.1 Strategic vision,89.76533019,Eastern Mediterranean Region
16,2019,1.1 Strategic vision,89.76533019,Eastern Mediterranean Region
16,2020,1.1 Strategic vision,89.76533019,Eastern Mediterranean Region
16,2021,1.1 Strategic vision,89.76533019,Eastern Mediterranean Region
16,2022,1.1 Strategic vision,89.76533019,Eastern Mediterranean Region
17,2017,1.1 Strategic vision,20.77948113,European Region
17,2018,1.1 Strategic vision,0,European Region
17,2019,1.1 Strategic vision,89.76533019,European Region
17,2020,1.1 Strategic vision,89.76533019,European Region
17,2021,1.1 Strategic vision,79.22051887,European Region
17,2022,1.1 Strategic vision,79.22051887,European Region
18,2017,1.1 Strategic vision,0,European Region
18,2018,1.1 Strategic vision,10.23466981,European Region
18,2019,1.1 Strategic vision,10.23466981,European Region
18,2020,1.1 Strategic vision,10.23466981,European Region
18,2021,1.1 Strategic vision,10.23466981,European Region
18,2022,1.1 Strategic vision,10.23466981,European Region
19,2017,1.1 Strategic vision,79.22051887,Region of the Americas
19,2018,1.1 Strategic vision,79.22051887,Region of the Americas
19,2019,1.1 Strategic vision,100,Region of the Americas
19,2020,1.1 Strategic vision,100,Region of the Americas
19,2021,1.1 Strategic vision,89.76533019,Region of the Americas
19,2022,1.1 Strategic vision,89.76533019,Region of the Americas
20,2017,1.1 Strategic vision,20.77948113,Eastern Mediterranean Region
20,2018,1.1 Strategic vision,89.76533019,Eastern Mediterranean Region
20,2019,1.1 Strategic vision,89.76533019,Eastern Mediterranean Region
20,2020,1.1 Strategic vision,79.22051887,Eastern Mediterranean Region
20,2021,1.1 Strategic vision,79.22051887,Eastern Mediterranean Region
20,2022,1.1 Strategic vision,79.22051887,Eastern Mediterranean Region
21,2017,1.1 Strategic vision,89.76533019,European Region
21,2018,1.1 Strategic vision,89.76533019,European Region
21,2019,1.1 Strategic vision,89.76533019,European Region
21,2020,1.1 Strategic vision,89.76533019,European Region
21,2021,1.1 Strategic vision,79.22051887,European Region
21,2022,1.1 Strategic vision,100,European Region
22,2017,1.1 Strategic vision,10.23466981,Region of the Americas
22,2018,1.1 Strategic vision,10.23466981,Region of the Americas
22,2019,1.1 Strategic vision,10.23466981,Region of the Americas
22,2020,1.1 Strategic vision,10.23466981,Region of the Americas
22,2021,1.1 Strategic vision,10.23466981,Region of the Americas
22,2022,1.1 Strategic vision,20.77948113,Region of the Americas
23,2017,1.1 Strategic vision,0,African Region
23,2018,1.1 Strategic vision,68.98584906,African Region
23,2019,1.1 Strategic vision,68.98584906,African Region
23,2020,1.1 Strategic vision,79.22051887,African Region
23,2021,1.1 Strategic vision,89.76533019,African Region
23,2022,1.1 Strategic vision,79.22051887,African Region
24,2017,1.1 Strategic vision,10.23466981,Region of the Americas
24,2018,1.1 Strategic vision,55.27240566,Region of the Americas
24,2019,1.1 Strategic vision,55.27240566,Region of the Americas
24,2020,1.1 Strategic vision,55.27240566,Region of the Americas
24,2021,1.1 Strategic vision,44.72759434,Region of the Americas
24,2022,1.1 Strategic vision,55.27240566,Region of the Americas
25,2017,1.1 Strategic vision,0,African Region
25,2018,1.1 Strategic vision,0,African Region
25,2019,1.1 Strategic vision,0,African Region
25,2020,1.1 Strategic vision,0,African Region
25,2021,1.1 Strategic vision,0,African Region
25,2022,1.1 Strategic vision,10.23466981,African Region
26,2017,1.1 Strategic vision,0,Eastern Mediterranean Region
26,2018,1.1 Strategic vision,31.01415094,Eastern Mediterranean Region
26,2019,1.1 Strategic vision,65.80188679,Eastern Mediterranean Region
26,2020,1.1 Strategic vision,45.02240566,Eastern Mediterranean Region
26,2021,1.1 Strategic vision,55.56721698,Eastern Mediterranean Region
