"Country","Country_class","Year","AMR","traj_class","WHO_Region","Income","Strategic_vision","Multi_sector_engagement","Sustainability","Accountability","AMC_surveillance_system","AMR_surveillance_system","Optimization_antimicrobial","Professional_education","Public_awareness","Hygiene_prevention","Research_innovation","Reporting","Policy_adjustment","Effectiveness"
60,3,2017,5.393939578,2,"European Region","UM",45.02240566,75.88630807,46.86079545,100,6.942078365,16.14674868,26.12137203,33.02139037,13.98104265,35.30471349,42.05933682,29.68397291,0,5.30912746
60,3,2018,6.85837644,2,"European Region","UM",34.78773585,75.88630807,46.86079545,100,6.942078365,18.84885764,34.49868074,8.021390374,6.990521327,31.95471349,42.05933682,29.68397291,0,5.30912746
60,3,2019,7.159613541,2,"European Region","UM",45.02240566,75.88630807,46.86079545,100,56.77172061,18.84885764,20.25065963,25,3.495260664,29.72532348,42.05933682,29.68397291,26.61654135,2.279173543
60,3,2020,8.761774103,2,"European Region","UM",45.02240566,75.88630807,46.86079545,100,29.34412266,13.44463972,20.25065963,33.02139037,3.495260664,29.72532348,42.05933682,29.68397291,26.61654135,2.279173543
60,3,2021,9.934485615,2,"European Region","UM",45.02240566,67.84841076,46.86079545,100,0,20.14499121,28.51503958,16.04278075,3.495260664,32.34750462,42.05933682,29.68397291,26.61654135,4.742364028
35,4,2017,4.66826918,2,"European Region","H",0,0,1.704545455,0,22.40204429,5.382249561,27.37467018,16.04278075,63.98104265,19.97486137,0,0,0,15.8491651
35,4,2018,6.066823381,2,"European Region","H",0,0,1.704545455,0,22.40204429,5.382249561,27.37467018,16.04278075,63.98104265,19.97486137,0,0,0,15.8491651
35,4,2019,6.745266982,2,"European Region","H",0,0,1.704545455,0,22.40204429,5.382249561,27.37467018,16.04278075,63.98104265,19.97486137,0,0,0,15.8491651
35,4,2020,7.568780933,2,"European Region","H",0,0,1.704545455,0,22.40204429,5.382249561,27.37467018,16.04278075,63.98104265,19.97486137,0,0,0,15.8491651
35,4,2021,7.839585614,2,"European Region","H",0,0,1.704545455,0,22.40204429,5.382249561,27.37467018,16.04278075,63.98104265,19.97486137,0,0,0,15.8491651
7,7,2017,2.029469488,2,"European Region","UM",72.66627358,41.96210269,69.09090909,48.94671623,41.31175468,5.382249561,22.62532982,25,20.97156398,37.54648799,21.02966841,29.68397291,26.61654135,2.279173543
7,7,2018,8.696447067,2,"European Region","UM",72.66627358,41.96210269,69.34659091,48.94671623,27.76831346,2.680140598,22.62532982,25,13.98104265,33.24889094,21.02966841,59.36794582,26.61654135,7.901293358
7,7,2019,10.55596812,2,"European Region","UM",72.66627358,41.96210269,69.34659091,48.94671623,27.76831346,8.040421793,22.62532982,16.04278075,20.97156398,34.02292052,21.02966841,59.36794582,0,20.52610135
7,7,2020,11.73778553,2,"European Region","UM",62.12146226,41.96210269,31.73295455,48.94671623,6.942078365,16.12478032,7.124010554,33.02139037,20.97156398,34.02292052,21.02966841,59.36794582,26.61654135,13.38900457
7,7,2021,12.99393072,2,"European Region","UM",51.88679245,58.03789731,62.38636364,48.94671623,6.942078365,12.06063269,7.124010554,25,13.98104265,38.32051756,21.02966841,59.36794582,0,4.558347085
78,9,2017,4.579980687,2,"Western Pacific Region","H",55.56721698,66.07579462,99.74431818,75.52664188,55.19591141,26.84534271,66.62269129,58.02139037,20.97156398,51.92310536,100,59.36794582,40.11278195,52.2884539
78,9,2018,6.047387812,2,"Western Pacific Region","H",55.56721698,66.07579462,99.74431818,75.52664188,55.19591141,34.9516696,66.62269129,75,20.97156398,58.28890943,100,59.36794582,40.11278195,55.31840782
78,9,2019,6.725579336,2,"Western Pacific Region","H",55.56721698,66.07579462,99.48863636,75.52664188,55.19591141,32.271529,66.62269129,75,34.47867299,58.28890943,100,79.68397291,13.4962406,58.34836173
78,9,2020,7.144428501,2,"Western Pacific Region","H",38.17334906,100,100,75.52664188,55.19591141,81.19507909,53.0585752,75,47.98578199,58.28890943,100,79.68397291,26.9924812,71.05950229
78,9,2021,7.791375115,2,"Western Pacific Region","H",38.17334906,100,62.64204545,75.52664188,55.19591141,40.35588752,53.0585752,75,37.5,44.38539741,100,79.68397291,53.60902256,66.23189045
361,20,2017,8.513936367,2,"European Region","UM",10.23466981,24.11369193,31.59090909,0,55.19591141,41.67398946,47.64432718,66.04278075,54.97630332,34.5422366,0,29.68397291,53.60902256,67.41082708
361,20,2018,12.62334144,2,"European Region","UM",10.23466981,24.11369193,31.84659091,0,72.57240204,36.29173989,69.01635884,66.04278075,47.98578199,38.93253235,0,29.68397291,53.60902256,61.35091925
361,20,2019,14.74874771,2,"European Region","UM",10.23466981,24.11369193,31.59090909,0,100,37.63181019,77.39366755,66.04278075,45.97156398,40.08780037,0,29.68397291,53.60902256,68.8389154
361,20,2020,17.01674506,2,"European Region","UM",10.23466981,24.11369193,31.59090909,0,100,37.63181019,77.39366755,66.04278075,63.98104265,88.70147874,0,29.68397291,53.60902256,73.77607143
361,20,2021,18.36000844,2,"European Region","UM",10.23466981,24.11369193,31.59090909,0,100,37.63181019,60.63905013,83.02139037,45.97156398,88.70147874,0,29.68397291,40.11278195,72.26109447
499,32,2017,10.82147756,2,"Region of the Americas","H",89.76533019,83.92420538,99.74431818,100,63.71379898,14.78471002,48.87862797,33.02139037,47.98578199,50.61229205,100,59.36794582,13.4962406,41.22979557
499,32,2018,8.477858152,2,"Region of the Americas","H",89.76533019,83.92420538,99.74431818,100,63.71379898,14.78471002,48.87862797,33.02139037,47.98578199,50.61229205,100,59.36794582,13.4962406,41.22979557
