"Country_class","ISO3","Country","Year","AMR","traj_class","WHO_Region","Income","Strategic_vision","Multi_sector_engagement","Sustainability","Accountability","AMC_surveillance_system","AMR_surveillance_system","Optimization_antimicrobial","Professional_education","Public_awareness","Hygiene_prevention","Research_innovation","Reporting","Policy_adjustment","Effectiveness"
1,291,291,2017,0.939082121,3,"Eastern Mediterranean Region","L",72.66627358,75.88630807,99.23295455,100,0,5.360281195,14.24802111,8.021390374,13.98104265,11.24935305,42.05933682,50,0,0.488882725
1,291,291,2018,1.406527321,3,"Eastern Mediterranean Region","L",72.66627358,75.88630807,68.57954545,100,0,10.72056239,0,8.021390374,6.990521327,15.54695009,42.05933682,50,0,0.488882725
1,291,291,2019,2.8252865,3,"Eastern Mediterranean Region","L",72.66627358,75.88630807,98.97727273,100,0,9.380492091,14.24802111,8.021390374,0,6.951756007,42.05933682,50,0,0.488882725
1,291,291,2020,4.208427349,3,"Eastern Mediterranean Region","L",72.66627358,75.88630807,69.09090909,100,0,8.040421793,8.149868074,25,13.98104265,7.913863216,42.05933682,50,26.61654135,1.29985023
1,291,291,2021,4.589179018,3,"Eastern Mediterranean Region","L",72.66627358,67.84841076,31.98863636,100,0,2.680140598,0,16.04278075,6.990521327,5.845656192,42.05933682,79.68397291,0,0
5,169,169,2017,4.321609545,3,"Eastern Mediterranean Region","H",10.23466981,8.037897311,1.193181818,0,13.88415673,17.50878735,27.37467018,24.06417112,20.97156398,34.79695009,0,20.31602709,26.61654135,18.43892777
5,169,169,2018,5.122151662,3,"Eastern Mediterranean Region","H",10.23466981,8.037897311,1.193181818,0,49.82964225,20.21089631,35.75197889,50,15.99526066,41.15036969,0,50,26.61654135,12.55567124
5,169,169,2019,6.22823457,3,"Eastern Mediterranean Region","H",100,83.92420538,69.09090909,100,63.71379898,25.54920914,27.37467018,50,20.97156398,43.99260628,42.05933682,79.68397291,26.61654135,13.38900457
5,169,169,2020,6.571005028,3,"Eastern Mediterranean Region","H",89.76533019,83.92420538,99.74431818,100,86.11584327,10.76449912,27.37467018,33.02139037,22.98578199,19.33890943,42.05933682,79.68397291,0,10.71235327
5,169,169,2021,6.427558615,3,"Eastern Mediterranean Region","H",89.76533019,83.92420538,31.98863636,100,56.77172061,10.76449912,32.12401055,25,22.98578199,41.92439926,42.05933682,79.68397291,26.61654135,9.629627025
6,335,335,2017,2.111610053,3,"Region of the Americas","UM",37.87853774,41.96210269,99.23295455,75.52664188,27.42759796,21.57293497,43.00791557,25,6.990521327,47.0194085,100,59.36794582,13.4962406,14.98139685
