Indicator,Model,Coefficient,Standard Errors,t value,P
1.1 Strategic vision,Fixed effects,0.089,0.036932667,2.40965468,0.019405643
1.2 Multi-sector engagement,Fixed effects,0.053,0.014839911,3.596075331,0.000700353
1.3 Sustainability,Fixed effects,-0.002,0.011894376,-0.173418346,0.862971043
1.4 Accountability,Fixed effects,-0.03,0.016535669,-1.839553759,0.071333513
2.1 AMC surveillance system,Fixed effects,0.049,0.011764155,4.179800045,0.000107501
2.2 AMR surveillance system,Fixed effects,0.056,0.027501265,2.051155326,0.045116404
2.3 Optimization of antimicrobial use,Fixed effects,-0.026,0.027871424,-0.949832802,0.346429049
2.4 Professional education,Fixed effects,0.003,0.021093619,0.162095075,0.871836
2.5 Public awareness,Fixed effects,0.008,0.020290531,0.395225683,0.694233318
2.6 Hygiene and prevention,Fixed effects,-0.006,0.011029997,-0.534985134,0.594856401
2.7 Research innovation,Fixed effects,0.024,0.019059924,1.259527577,0.213256719
3.1 Reporting,Fixed effects,0.006,0.017579495,0.31777758,0.751879267
3.2 Policy adjustment,Fixed effects,-0.013,0.014820686,-0.901094959,0.371539268
3.3 Effectiveness,Fixed effects,-0.012,0.037788768,-0.307521999,0.75962903
