"id","ISO3","Country","Year","Value","traj_class"
1,116,116,1,-1.194635997,2
1,116,116,2,-0.315425828,2
1,116,116,3,0.939082121,2
1,116,116,4,1.406527321,2
1,116,116,5,2.8252865,2
1,116,116,6,4.208427349,2
1,116,116,7,4.589179018,2
2,423,423,1,-1.532922803,1
2,423,423,2,-2.819004401,1
2,423,423,3,-3.954220349,1
2,423,423,4,-5.239282607,1
2,423,423,5,-5.509118905,1
2,423,423,6,-5.130984503,1
2,423,423,7,-4.679959852,1
3,417,417,1,3.376688605,3
3,417,417,2,5.810893316,3
3,417,417,3,5.393939578,3
3,417,417,4,6.85837644,3
3,417,417,5,7.159613541,3
3,417,417,6,8.761774103,3
3,417,417,7,9.934485615,3
4,408,408,1,-0.190517122,3
4,408,408,2,1.965885079,3
4,408,408,3,4.66826918,3
4,408,408,4,6.066823381,3
4,408,408,5,6.745266982,3
4,408,408,6,7.568780933,3
4,408,408,7,7.839585614,3
5,91,91,1,1.77594758,2
5,91,91,2,3.452183327,2
5,91,91,3,4.321609545,2
5,91,91,4,5.122151662,2
5,91,91,5,6.22823457,2
5,91,91,6,6.571005028,2
5,91,91,7,6.427558615,2
6,191,191,1,0.810390132,2
6,191,191,2,1.412227617,2
6,191,191,3,2.111610053,2
6,191,191,4,3.813466258,2
6,191,191,5,4.572333053,2
6,191,191,6,5.152394739,2
6,191,191,7,6.166278514,2
7,522,522,1,4.037501389,3
7,522,522,2,1.968253199,3
7,522,522,3,2.029469488,3
7,522,522,4,8.696447067,3
7,522,522,5,10.55596812,3
7,522,522,6,11.73778553,3
7,522,522,7,12.99393072,3
8,267,267,1,-2.48857918,1
8,267,267,2,-4.147665145,1
8,267,267,3,-4.004743509,1
8,267,267,4,-2.357937574,1
8,267,267,5,-1.892665639,1
8,267,267,6,-0.411540593,1
8,267,267,7,-0.218311638,1
9,535,535,1,2.598558658,3
9,535,535,2,3.529474802,3
9,535,535,3,4.579980687,3
9,535,535,4,6.047387812,3
9,535,535,5,6.725579336,3
9,535,535,6,7.144428501,3
9,535,535,7,7.791375115,3
10,592,592,1,-0.700709747,2
10,592,592,2,0.085348144,2
10,592,592,3,1.086413574,2
10,592,592,4,1.335098804,2
10,592,592,5,2.510987544,2
10,592,592,6,4.085150224,2
10,592,592,7,4.831876195,2
11,21,21,1,2.181798421,2
11,21,21,2,1.304081069,2
11,21,21,3,1.680547708,2
11,21,21,4,0.981576257,2
11,21,21,5,1.644666365,2
11,21,21,6,2.315840124,2
11,21,21,7,2.981531773,2
12,70,70,1,0.165052728,2
12,70,70,2,-0.206989675,2
12,70,70,3,0.502005783,2
12,70,70,4,3.16393818,2
12,70,70,5,3.191167507,2
12,70,70,6,3.199000945,2
12,70,70,7,3.300072622,2
13,317,317,1,0.552436852,2
13,317,317,2,1.655096973,2
13,317,317,3,1.928762824,2
13,317,317,4,2.514651825,2
13,317,317,5,4.175544346,2
13,317,317,6,4.294886387,2
13,317,317,7,4.839507989,2
14,9,9,1,-2.289957459,1
14,9,9,2,-4.524860701,1
14,9,9,3,-4.869367183,1
14,9,9,4,-5.535953765,1
14,9,9,5,-6.126475737,1
14,9,9,6,-6.559416029,1
14,9,9,7,-6.611950161,1
15,220,220,1,-2.70747216,1
15,220,220,2,-2.62738728,1
15,220,220,3,-4.420679039,1
15,220,220,4,-4.637665258,1
15,220,220,5,-4.446146648,1
15,220,220,6,-4.617511087,1
15,220,220,7,-5.066532457,1
16,52,52,1,-2.217891792,1
16,52,52,2,-2.00702203,1
16,52,52,3,-2.063402578,1
16,52,52,4,-0.867112446,1
16,52,52,5,0.311162285,1
16,52,52,6,-0.121623493,1
16,52,52,7,1.088984379,1
17,275,275,1,-2.275877965,1
17,275,275,2,-2.327047946,1
17,275,275,3,-2.089123876,1
17,275,275,4,-1.888719227,1
17,275,275,5,-0.828962098,1
17,275,275,6,-0.000889388,1
17,275,275,7,0.387001101,1
18,529,529,1,-0.311811513,2
18,529,529,2,0.540833938,2
18,529,529,3,1.201083719,2
18,529,529,4,1.33965478,2
18,529,529,5,2.126882981,2
18,529,529,6,2.892471572,2
18,529,529,7,3.849374053,2
19,118,118,1,-1.522722177,1
19,118,118,2,-1.367544875,1
19,118,118,3,-3.267998064,1
19,118,118,4,-4.697575403,1
19,118,118,5,-3.703779591,1
19,118,118,6,-4.03342131,1
19,118,118,7,-3.821381439,1
20,450,450,1,0.518149955,3
20,450,450,2,6.287014866,3
20,450,450,3,8.513936367,3
20,450,450,4,12.62334144,3
20,450,450,5,14.74874771,3
20,450,450,6,17.01674506,3
20,450,450,7,18.36000844,3
21,392,392,1,-2.503744611,2
21,392,392,2,-1.125018752,2
21,392,392,3,-0.788126282,2
21,392,392,4,-0.628856383,2
21,392,392,5,0.337038746,2
21,392,392,6,0.814629336,2
21,392,392,7,1.248075815,2
22,230,230,1,2.349934182,2
22,230,230,2,2.942584335,2
22,230,230,3,1.192465537,2
22,230,230,4,0.66718934,2
22,230,230,5,1.155781593,2
22,230,230,6,1.266298665,2
22,230,230,7,1.613367008,2
23,112,112,1,-0.533599986,1
23,112,112,2,-1.686891648,1
23,112,112,3,-0.855051569,1
23,112,112,4,-0.189001401,1
23,112,112,5,-0.437842202,1
23,112,112,6,0.210495166,1
23,112,112,7,0.051444184,1
24,109,109,1,0.833686625,2
24,109,109,2,1.634790352,2
24,109,109,3,3.018664669,2
24,109,109,4,4.824686866,2
24,109,109,5,5.259540473,2
24,109,109,6,5.79374368,2
24,109,109,7,7.200842107,2
25,492,492,1,0.734881239,2
25,492,492,2,2.220894726,2
25,492,492,3,2.637937964,2
25,492,492,4,3.801948321,2
25,492,492,5,4.500608198,2
25,492,492,6,5.358650966,2
25,492,492,7,6.844802693,2
26,306,306,1,2.171526214,2
26,306,306,2,1.382332445,2
26,306,306,3,2.128082546,2
26,306,306,4,2.727645097,2
26,306,306,5,2.104227107,2
26,306,306,6,1.981060478,2
26,306,306,7,1.592788379,2
27,363,363,1,-1.701442566,1
27,363,363,2,-1.595795659,1
27,363,363,3,-1.601288591,1
27,363,363,4,-1.175612223,1
27,363,363,5,-2.902669496,1
27,363,363,6,-1.849894298,1
27,363,363,7,0.057595329,1
28,371,371,1,-0.198895438,2
28,371,371,2,0.327850733,2
28,371,371,3,2.529158105,2
