"Country","Country_class","Year","AMR","Region_Level1","Region_class","Strategic_vision","Multi_sector_engagement","Sustainability","Accountability","AMC_surveillance_system","AMR_surveillance_system","Optimization_antimicrobial","Professional_education","Public_awareness","Hygiene_prevention","Research_innovation","Reporting","Policy_adjustment","Effectiveness","AMC_human","GDP_per_capita","CHE_per_capita","People_using_at_least_basic_drinking_water_services","Population_density","Government_Effectiveness"
1,10,2017,1.086413574,"European Region",3,89.76533019,100,69.60227273,100,100,49.75834798,65.50131926,75,56.99052133,28.80083179,100,79.68397291,53.60902256,77.20715045,16.7,47163.74258,4939,100,106.6113185,1.467751503
1,10,2018,1.335098804,"European Region",3,89.76533019,100,69.60227273,100,77.59795571,49.75834798,65.50131926,75,63.98104265,28.02680222,100,79.68397291,53.60902256,77.20715045,16.8,51194.07498,5337,99.99999932,107.1318589,1.456116676
1,10,2019,2.510987544,"European Region",3,89.76533019,100,69.60227273,100,77.59795571,49.75834798,65.50131926,75,63.98104265,28.02680222,100,79.68397291,53.60902256,80.23710436,16.89761503,49885.99474,5263,99.99999659,107.6093068,1.492126226
1,10,2020,4.085150224,"European Region",3,89.76533019,100,100,100,100,47.05623902,68.21794195,91.97860963,63.98104265,32.9103512,100,79.68397291,40.11278195,83.6664802,16.97509041,48716.40989,5567,100,108.0570044,1.605863214
1,10,2021,4.831876195,"European Region",3,100,100,100,100,100,47.05623902,56.00263852,91.97860963,63.98104265,34.20452865,100,79.68397291,13.4962406,74.99802512,17.03658127,53648.71907,6505,100,108.5288051,1.528294683
2,13,2017,1.928762824,"European Region",3,89.76533019,41.96210269,69.09090909,100,100,97.3198594,65.50131926,75,54.97630332,45.15942699,100,59.36794582,50.18796992,84.45800526,26.8,44035.32394,4782.646973,99.99999838,375.0093298,1.240784049
2,13,2018,2.514651825,"European Region",3,79.22051887,41.96210269,31.98863636,100,100,100,73.87862797,75,47.98578199,45.15942699,100,59.36794582,50.18796992,84.45800526,26.3,47487.21004,5176.983887,100,374.7435149,1.224631786
2,13,2019,4.175544346,"European Region",3,79.22051887,58.03789731,32.24431818,100,100,100,73.87862797,75,47.98578199,45.93345656,100,59.36794582,76.80451128,84.45800526,26.3,46716.62275,5049.577148,100,376.761986,1.113318324
2,13,2020,4.294886387,"European Region",3,79.22051887,100,32.24431818,100,100,100,73.87862797,91.97860963,31.99052133,45.93345656,100,100,76.80451128,67.28826639,26.3,45906.28758,5104.025391,99.99999626,378.3893225,1.078235269
2,13,2021,4.839507989,"European Region",3,100,100,69.60227273,100,100,74.20913884,84.74511873,91.97860963,31.99052133,45.93345656,100,100,76.80451128,66.84398068,26.3,51655.78833,5680.231445,100,379.9499902,1.0855726
3,30,2017,-0.193167668,"Region of the Americas",2,44.43278302,41.96210269,31.98863636,48.94671623,86.11584327,44.39806678,54.74934037,33.02139037,40.99526066,26.72107209,100,79.68397291,26.9924812,12.74096926,17.9,45129.62812,4920.728516,99.22553538,4.076148363,1.815572977
3,30,2018,0.622118972,"Region of the Americas",2,44.43278302,41.96210269,31.98863636,48.94671623,86.11584327,44.39806678,54.74934037,33.02139037,31.99052133,26.72107209,100,79.68397291,26.9924812,8.524379398,17.4,46539.17616,5080.323242,99.22363094,4.134989443,1.675133944
3,30,2019,1.441863142,"Region of the Americas",2,44.43278302,41.96210269,62.38636364,48.94671623,86.11584327,44.39806678,63.12664908,50,31.99052133,30.33733826,100,79.68397291,53.60902256,16.95755912,17.89304642,46352.86934,5115.976074,99.22165498,4.195875007,1.697310686
3,30,2020,1.683854112,"Region of the Americas",2,44.43278302,41.96210269,62.38636364,48.94671623,86.11584327,67.50878735,58.37730871,66.97860963,31.99052133,30.33733826,100,79.68397291,53.60902256,33.81886438,18.19635168,43537.8393,5668.347656,99.22180959,4.241621355,1.598312855
3,30,2021,2.156355402,"Region of the Americas",2,44.43278302,41.96210269,62.64204545,48.94671623,93.05792164,67.50878735,61.0939314,75,40.99526066,30.33733826,100,79.68397291,76.80451128,47.95414472,18.38293468,52496.84417,6470.067871,99.22198864,4.351026204,1.561457276
4,44,2017,1.971594808,"European Region",3,79.22051887,75.88630807,31.98863636,100,41.31175468,41.71792619,31.00263852,25,47.98578199,74.56072089,100,79.68397291,0,37.95270287,28.9,26696.99023,1773,99.77298663,135.7440476,0.885378718
4,44,2018,1.851881381,"European Region",3,79.22051887,75.88630807,32.24431818,100,86.11584327,41.71792619,31.00263852,25,47.98578199,74.56072089,100,79.68397291,0,42.16929273,28.3,29599.98633,2021,99.76518343,137.5256494,0.883620501
4,44,2019,2.845477795,"European Region",3,79.22051887,75.88630807,32.24431818,100,86.11584327,41.71792619,47.75725594,25,47.98578199,74.56072089,100,79.68397291,0,42.16929273,27.67393508,29703.05273,2093,99.76519236,139.2501082,0.955758095
4,44,2020,3.656651488,"European Region",3,79.22051887,75.88630807,32.24431818,100,86.11584327,44.39806678,47.75725594,25,47.98578199,25.94704251,100,79.68397291,0,42.96370351,27.3257806,28649.01563,2362,99.76517216,140.9358225,0.839448512
