Indicator,Model,Coefficient,Standard Errors,t value,P
1.1 Strategic vision,Fixed effects,0.069,0.034334763,2.007785088,0.049775828
1.2 Multi-sector engagement,Fixed effects,0.044,0.013855154,3.191742683,0.002378555
1.3 Sustainability,Fixed effects,-0.001,0.010897756,-0.070762808,0.943852874
1.4 Accountability,Fixed effects,-0.024,0.015245425,-1.600277464,0.115481768
2.1 AMC surveillance system,Fixed effects,0.038,0.011231256,3.421963086,0.00120527
2.2 AMR surveillance system,Fixed effects,0.04,0.025648903,1.557392271,0.12532923
2.3 Optimization of antimicrobial use,Fixed effects,-0.015,0.025738589,-0.589665789,0.557920262
2.4 Professional education,Fixed effects,-0.007,0.019571833,-0.37141174,0.711811556
2.5 Public awareness,Fixed effects,0.014,0.018675404,0.772224525,0.443411403
2.6 Hygiene and prevention,Fixed effects,0.014,0.01162746,1.166134853,0.248780767
2.7 Research innovation,Fixed effects,0.033,0.017637447,1.849403484,0.069979387
3.1 Reporting,Fixed effects,-0.017,0.017453231,-0.985489789,0.328861231
3.2 Policy adjustment,Fixed effects,-0.007,0.013712564,-0.489012985,0.626850122
3.3 Effectiveness,Fixed effects,-0.041,0.035696333,-1.155757719,0.252963941
COVID1,Fixed effects,1.442,0.426867772,3.377532474,0.001376898
