Indicator,Model,Coefficient,Standard Errors,t value,P
1.1 Strategic vision,Fixed effects,0.091,0.039711019,2.296552865,0.025625592
1.2 Multi-sector engagement,Fixed effects,0.053,0.015071073,3.522852925,0.000887897
1.3 Sustainability,Fixed effects,-0.003,0.012898726,-0.218770871,0.82766881
1.4 Accountability,Fixed effects,-0.031,0.016832679,-1.828208296,0.073148719
2.1 AMC surveillance system,Fixed effects,0.049,0.011879224,4.145023149,0.00012305
2.2 AMR surveillance system,Fixed effects,0.056,0.027755889,2.029914516,0.047398219
2.3 Optimization of antimicrobial use,Fixed effects,-0.027,0.028399203,-0.954414074,0.344207048
2.4 Professional education,Fixed effects,0.005,0.02232929,0.201677333,0.840941068
2.5 Public awareness,Fixed effects,0.008,0.020476131,0.392050799,0.696592782
2.6 Hygiene and prevention,Fixed effects,-0.007,0.012714187,-0.541807357,0.590221873
2.7 Research innovation,Fixed effects,0.024,0.019234686,1.249220042,0.217073733
3.1 Reporting,Fixed effects,0.006,0.018035487,0.338711533,0.736165325
3.2 Policy adjustment,Fixed effects,-0.013,0.014956218,-0.892715836,0.3760449
3.3 Effectiveness,Fixed effects,-0.011,0.038350762,-0.285960005,0.776023498
COVID2,Fixed effects,0,0.002657963,-0.160754949,0.87289759
