Indicator,Model,Coefficient,Standard Errors,t value,P
1.1 Strategic vision,Fixed effects,-0.016,0.029599075,-0.527560034,0.598961771
1.2 Multi-sector engagement,Fixed effects,0.046,0.015458849,2.970308968,0.003717337
1.3 Sustainability,Fixed effects,-0.013,0.013725895,-0.979638631,0.329605277
1.4 Accountability,Fixed effects,0.011,0.018808084,0.601699312,0.548722564
2.1 AMC surveillance system,Fixed effects,0.037,0.010255716,3.654078037,0.000411504
2.2 AMR surveillance system,Fixed effects,-0.011,0.02266125,-0.468916466,0.64013993
2.3 Optimization of antimicrobial use,Fixed effects,0.017,0.023081786,0.744278354,0.458436253
2.4 Professional education,Fixed effects,-0.016,0.016872213,-0.924660078,0.357346715
2.5 Public awareness,Fixed effects,-0.02,0.01863864,-1.093814635,0.276638148
2.6 Hygiene and prevention,Fixed effects,0.011,0.014332986,0.745226838,0.457865309
2.7 Research innovation,Fixed effects,0.012,0.014760328,0.840515506,0.402604817
3.1 Reporting,Fixed effects,0.013,0.016948916,0.755417641,0.451756525
3.2 Policy adjustment,Fixed effects,-0.005,0.012300052,-0.387288515,0.699357528
3.3 Effectiveness,Fixed effects,-0.026,0.035672154,-0.729381053,0.467456727
COVID1,Fixed effects,2.781,0.344512313,8.072038953,1.51E-12
