Indicator,Model,Coefficient,Standard Errors,t value,P
1.1 Strategic vision,Fixed effects,-0.047,0.033918736,-1.398285321,0.165090301
1.2 Multi-sector engagement,Fixed effects,0.06,0.017511856,3.399012082,0.000969253
1.3 Sustainability,Fixed effects,-0.012,0.015568463,-0.759913695,0.449076346
1.4 Accountability,Fixed effects,0.019,0.021288337,0.891269454,0.374902961
2.1 AMC surveillance system,Fixed effects,0.042,0.011623062,3.638233691,0.000434513
2.2 AMR surveillance system,Fixed effects,0,0.025616675,-0.01863009,0.985172952
2.3 Optimization of antimicrobial use,Fixed effects,0.033,0.026000922,1.269945554,0.207022054
2.4 Professional education,Fixed effects,-0.021,0.019135858,-1.110475901,0.269430762
2.5 Public awareness,Fixed effects,-0.039,0.020935921,-1.860418983,0.06573567
2.6 Hygiene and prevention,Fixed effects,0.002,0.016286928,0.094716678,0.924727529
2.7 Research innovation,Fixed effects,0.011,0.016785982,0.647763186,0.5186079
3.1 Reporting,Fixed effects,0.029,0.018971195,1.511347006,0.133822616
3.2 Policy adjustment,Fixed effects,0.015,0.014313176,1.038181775,0.301664517
3.3 Effectiveness,Fixed effects,-0.001,0.040139022,-0.024008454,0.980893236
COVID2,Fixed effects,0.017,0.003159617,5.315241253,6.39E-07
