Indicator,Model,Coefficient,Standard Errors,t value,P
1.1 Strategic vision,Fixed effects,-0.022,0.033825294,-0.658047389,0.512004795
1.2 Multi-sector engagement,Fixed effects,0.047,0.017689965,2.653255028,0.009260713
1.3 Sustainability,Fixed effects,-0.015,0.015761837,-0.958139804,0.340280228
1.4 Accountability,Fixed effects,0.019,0.021461911,0.878689533,0.381655294
2.1 AMC surveillance system,Fixed effects,0.042,0.011718845,3.624134431,0.000456008
2.2 AMR surveillance system,Fixed effects,0.035,0.02639636,1.308087212,0.193813019
2.3 Optimization of antimicrobial use,Fixed effects,0.019,0.026502642,0.73116883,0.466368963
2.4 Professional education,Fixed effects,-0.013,0.019311776,-0.655097815,0.513894044
2.5 Public awareness,Fixed effects,-0.029,0.021226427,-1.382575893,0.169844416
2.6 Hygiene and prevention,Fixed effects,0.008,0.016963975,0.477806975,0.633820079
2.7 Research innovation,Fixed effects,0.006,0.016821067,0.358739555,0.720538736
3.1 Reporting,Fixed effects,0.027,0.019159886,1.418467279,0.159132711
3.2 Policy adjustment,Fixed effects,-0.011,0.01415487,-0.772269772,0.441758011
3.3 Effectiveness,Fixed effects,-0.007,0.040813587,-0.177363512,0.859578077
COVID3,Fixed effects,0.016,0.003072472,5.116099863,1.49E-06
