Location,Year,Predicted_Value,Lower_CI_95,Upper_CI_95
Afghanistan,2019,14.583333333331854,14.102055679123449,15.06461098754026
Afghanistan,2020,14.966666666663711,14.286037280815076,15.647296052512345
Afghanistan,2021,15.349999999995566,14.516402650359042,16.183597349632088
Albania,2019,19.016977063598,18.6817351845707,19.352218942625296
Albania,2020,19.501395762459182,19.036454639750588,19.966336885167777
Albania,2021,19.985814461320366,19.232043395794523,20.73958552684621
Algeria,2019,38.008897397493286,36.68055297731214,39.33724181767443
Algeria,2020,39.21779479498658,36.81979353706098,41.61579605291218
Algeria,2021,40.42669219247988,36.84192867415924,44.01145571080051
American Samoa,2019,10.955555555555488,10.702002219105097,11.20910889200588
American Samoa,2020,11.111111111110976,10.752532543917884,11.469689678304068
American Samoa,2021,11.266666666666465,10.82749940550578,11.70583392782715
Andorra,2019,17.15338259604751,14.995462971347363,19.311302220747656
Andorra,2020,17.124885580439795,14.744006558324482,19.505764602555107
Andorra,2021,17.140098027167255,14.259832369621767,20.020363684712745
Angola,2019,8.566567115242542,8.417256994260992,8.715877236224092
Angola,2020,8.973279602078808,8.740020662422818,9.206538541734798
Angola,2021,9.316805051807851,8.985769437342462,9.64784066627324
Antigua and Barbuda,2019,18.956352752920616,16.705455790776572,21.20724971506466
Antigua and Barbuda,2020,17.72025899612007,14.717735270186296,20.722782722053843
Antigua and Barbuda,2021,17.72025899612007,14.717735270186296,20.722782722053843
Argentina,2019,15.2,12.59693832960886,17.803061670391138
Argentina,2020,15.2,11.518714882039289,18.88128511796071
Argentina,2021,15.2,10.691364931647438,19.70863506835256
Armenia,2019,13.409618913314471,12.282735226173562,14.53650260045538
Armenia,2020,13.416308195068618,12.043718063091724,14.788898327045512
Armenia,2021,13.420960122882441,11.944134347440784,14.897785898324098
Australia,2019,23.9,21.475641704203248,26.32435829579675
Australia,2020,23.9,20.471439618032512,27.328560381967485
Australia,2021,23.9,19.70088825592893,28.099111744071067
Austria,2019,16.897615034881504,14.029578147452257,19.76565192231075
Austria,2020,16.97509040575532,13.313502034258738,20.636678777251902
Austria,2021,17.036581272396123,12.953533038339959,21.119629506452288
Azerbaijan,2019,11.305555555554715,10.67680246522181,11.93430864588762
Azerbaijan,2020,11.511111111109432,10.621919963376643,12.400302258842222
Azerbaijan,2021,11.716666666664148,10.627634368791613,12.805698964536683
Bahrain,2019,19.1,16.55958597405375,21.640414025946253
Bahrain,2020,19.1,15.507312030463975,22.692687969536028
Bahrain,2021,19.1,14.699873834800492,23.50012616519951
Bangladesh,2019,18.71539962860065,17.967140264338497,19.463658992862804
Bangladesh,2020,19.4307992572013,18.244681976493606,20.616916537908995
Bangladesh,2021,20.14619888580195,18.533703562879065,21.758694208724837
Barbados,2019,17,14.509214993489762,19.49078500651024
Barbados,2020,17,13.477498062837663,20.52250193716234
Barbados,2021,17,12.68583381799349,21.31416618200651
