"Country_class","ISO3","Country","Year","AMR","traj_class","WHO_Region","Income","Strategic_vision","Multi_sector_engagement","Sustainability","Accountability","AMC_surveillance_system","AMR_surveillance_system","Optimization_antimicrobial","Professional_education","Public_awareness","Hygiene_prevention","Research_innovation","Reporting","Policy_adjustment","Effectiveness"
2,"AGO",1,2017,-3.954220349,1,"African Region","LM",0,16.07579462,31.84659091,0,0,47.56151142,10.86649077,0,6.990521327,3.616266174,0,0,0,6.08797235
2,"AGO",1,2018,-5.239282607,1,"African Region","LM",0,0,1.193181818,0,48.25383305,50.24165202,40.61583113,8.021390374,0,12.21146026,0,0,0,11.71009217
2,"AGO",1,2019,-5.509118905,1,"African Region","LM",0,0,1.193181818,0,48.25383305,50.24165202,40.61583113,8.021390374,0,12.21146026,0,0,0,11.71009217
2,"AGO",1,2020,-5.130984503,1,"African Region","LM",0,0,1.193181818,0,48.25383305,50.24165202,40.61583113,8.021390374,0,12.21146026,0,20.31602709,0,11.71009217
2,"AGO",1,2021,-4.679959852,1,"African Region","LM",0,0,1.193181818,0,48.25383305,50.24165202,40.61583113,8.021390374,0,12.21146026,0,20.31602709,0,11.71009217
8,"ATG",2,2017,-4.004743509,1,"Region of the Americas","H",0,8.037897311,1.704545455,0,0,5.360281195,4.749340369,8.021390374,59.00473934,26.6754159,0,0,0,4.169540688
8,"ATG",2,2018,-2.357937574,1,"Region of the Americas","H",0,8.037897311,0.9375,0,72.23168654,2.680140598,4.749340369,41.97860963,11.492891,30.97301294,0,0,0,5.356176633
8,"ATG",2,2019,-1.892665639,1,"Region of the Americas","H",0,8.037897311,0.9375,0,72.23168654,2.680140598,4.749340369,41.97860963,11.492891,30.97301294,0,0,0,5.356176633
8,"ATG",2,2020,-0.411540593,1,"Region of the Americas","H",0,8.037897311,0.9375,0,72.23168654,2.680140598,4.749340369,41.97860963,11.492891,30.97301294,0,0,0,5.356176633
8,"ATG",2,2021,-0.218311638,1,"Region of the Americas","H",0,8.037897311,0.9375,0,72.23168654,2.680140598,4.749340369,41.97860963,11.492891,30.97301294,0,0,0,5.356176633
